geek_rate,title,num_votes,avg_rate,id
7.154,Blood Bowl (Third Edition),4485,7.57,712
7.154,1775: Rebellion,2353,7.83,128996
7.153,Lord of the Rings: The Confrontation,4530,7.51,18833
7.153,Fresco,8802,7.34,66188
7.153,Sentinels of the Multiverse,10981,7.36,102652
7.148,Forbidden Desert,14647,7.29,136063
7.148,Modern Art,11429,7.30,118
7.146,London,5503,7.42,65781
7.145,Glen More,7091,7.36,66362
7.143,Amun-Re,7196,7.37,5404
7.140,Flash Point: Fire Rescue,13705,7.28,100901
7.139,Descent: Journeys in the Dark,10276,7.35,17226
7.137,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,9557,7.36,133038
7.137,Onitama,3278,7.65,160477
7.134,Cthulhu Wars,2075,8.04,139976
7.132,Hanabi,23648,7.22,98778
7.130,Pandemic: The Cure,5648,7.41,150658
7.126,Catan,67555,7.27,13
7.124,Nippon,2154,7.83,154809
7.123,Small World Underground,7069,7.37,97786
7.123,Inis,2585,7.83,155821
7.120,Bruxelles 1893,2855,7.65,144592
7.120,A Game of Thrones: The Card Game (Second Edition),2218,7.93,169255
7.120,Kingsburg,15189,7.24,27162
7.119,Heroscape Master Set: Rise of the Valkyrie,6929,7.42,11170
7.116,Egizia,4327,7.46,58421
7.115,For Sale,15524,7.22,172
7.113,Vinhos,3593,7.54,42052
7.113,Amerigo,3886,7.51,137408
7.112,Thunderstone Advance: Towers of Ruin,4062,7.51,116998
7.108,Innovation,10866,7.26,63888
7.107,Time's Up! Title Recall!,2164,7.79,36553
7.105,Hammer of the Scots,3394,7.57,3685
7.102,Archipelago,5096,7.43,105551
7.093,Commands & Colors: Napoleonics,1798,7.97,62222
7.091,Legends of Andor,7755,7.33,127398
7.090,Taj Mahal,6219,7.34,475
7.090,Airlines Europe,5383,7.38,90419
7.088,Firefly: The Game,6865,7.41,138161
7.087,Zombicide,10944,7.33,113924
7.087,Tiny Epic Galaxies,5781,7.39,163967
7.087,Libertalia,8836,7.27,125618
7.087,Star Realms: Colony Wars,1763,7.97,182631
7.085,Colt Express,11811,7.24,158899
7.084,Shadows of Brimstone: City of the Ancients,2068,8.05,146791
7.082,Biblios,9871,7.25,34219
7.081,Spartacus: A Game of Blood & Treachery,4653,7.48,128671
7.078,"Labyrinth: The War on Terror, 2001 – ?",3165,7.58,62227
7.078,Paperback,4569,7.41,141572
7.078,Burgle Bros.,2657,7.67,172081
7.076,Tales of the Arabian Nights,8610,7.29,34119
7.075,Deus,4637,7.40,162082
7.075,The Grizzled,5640,7.36,171668
7.074,A Game of Thrones (first edition),9326,7.29,6472
7.073,Vikings,6782,7.30,27173
7.072,Elysium,5020,7.37,163968
7.071,Struggle of Empires,3403,7.51,9625
7.069,Spyfall,10246,7.22,166384
7.069,Automobile,4718,7.37,39351
7.067,Wallenstein (first edition),3281,7.53,3307
7.064,Anachrony,1286,8.36,185343
7.061,Lost Cities,26654,7.15,50
7.060,San Juan (second edition),2446,7.67,166669
7.060,Evolution,6992,7.30,155703
7.060,Citadels,37556,7.15,478
7.058,Friday,8845,7.25,43570
7.057,Euphoria: Build a Better Dystopia,5695,7.35,133848
7.057,Carson City,5707,7.31,39938
7.056,Last Will,6728,7.27,97842
7.052,Freedom: The Underground Railroad,2461,7.64,119506
7.052,The Republic of Rome,3362,7.55,1513
7.052,Ginkgopolis,3732,7.44,128271
7.049,Francis Drake,3161,7.51,140603
7.047,PitchCar,7556,7.25,150
7.046,Ingenious,12899,7.18,9674
7.045,Shadows over Camelot,20188,7.16,15062
7.045,Secret Hitler,3421,7.62,188834
7.044,Nexus Ops,7566,7.26,15363
7.044,RoboRally,19356,7.15,18
7.040,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,1357,8.17,183562
7.040,Madeira,2360,7.66,95527
7.039,Warhammer Quest: The Adventure Card Game,2944,7.62,181521
7.039,Stockpile,2509,7.65,161614
7.035,Dixit: Journey,3380,7.50,121288
7.034,AquaSphere,4165,7.39,159508
7.033,Smash Up: Awesome Level 9000,4996,7.38,134726
7.033,Sushi Go!,17420,7.15,133473
7.033,Gears of War: The Board Game,3760,7.49,42776
7.032,Star Wars: Destiny,1636,8.16,205359
7.032,Abyss,5251,7.33,155987
7.032,Belfort,4956,7.33,50750
7.031,StarCraft: The Board Game,6040,7.34,22827
7.028,Cry Havoc,2489,7.66,192457
7.027,Defenders of the Realm,4537,7.39,65532
7.027,Up Front,1865,7.84,586
7.025,Ashes: Rise of the Phoenixborn,2920,7.64,167400
7.021,Napoleon's Triumph,1523,7.97,18098
7.020,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,2815,7.57,24800
7.019,1989: Dawn of Freedom,1618,7.90,26997
7.018,Thurn and Taxis,15140,7.13,21790
7.018,Snowdonia,3185,7.47,119432
7.017,Trains,5852,7.26,121408
7.015,DVONN,3582,7.43,2346
7.013,Tajemnicze Domostwo,3867,7.39,113997
7.013,Coup,20602,7.12,131357
7.012,Summoner Wars,4996,7.34,58281
7.009,Specter Ops,3413,7.44,155624
7.008,The Duke,2672,7.57,36235
7.008,51st State: Master Set,1673,7.93,192458
7.003,TZAAR,2099,7.68,31999
6.999,Millennium Blades,1549,8.03,151347
6.998,Chicago Express,5908,7.23,31730
6.995,King of New York,8456,7.19,160499
6.995,Star Trek: Fleet Captains,2725,7.58,79127
6.994,Marvel Dice Masters: Avengers vs. X-Men,4700,7.33,148575
6.994,Time's Up!,3917,7.36,1353
6.994,Fire in the Lake,1343,8.09,144189
6.993,Lords of Vegas,4360,7.32,20437
6.992,Combat Commander: Pacific,1243,8.10,28181
6.992,One Night Ultimate Werewolf Daybreak,2549,7.58,163166
6.988,Thebes,7625,7.18,30869
6.986,Pax Porfiriana,1940,7.71,128780
6.985,Luna,3234,7.40,70512
6.984,Advanced Squad Leader: Starter Kit #1,1943,7.78,9823
6.984,Colosseum,6917,7.21,27746
6.983,Fury of Dracula (second edition),8196,7.20,20963
6.983,Bohnanza,28325,7.07,11
6.981,Quantum,4229,7.35,143519
6.981,Chinatown,5838,7.23,47
6.974,Baseball Highlights: 2045,1894,7.72,151022
6.971,Star Wars: The Card Game,4248,7.37,103886
6.971,Camel Up,12014,7.11,153938
6.969,Zombicide Season 2: Prison Outbreak,2820,7.56,137988
6.968,Carcassonne: Hunters and Gatherers,9603,7.15,4390
6.968,Vegas Showdown,5438,7.22,15364
6.966,Summoner Wars: Guild Dwarves vs Cave Goblins,2041,7.66,82420
6.966,Betrayal at House on the Hill,21625,7.15,10547
6.966,Among the Stars,5120,7.23,110277
6.965,Arboretum,3566,7.37,140934
6.964,Myrmes,3727,7.35,126792
6.964,Summoner Wars: Phoenix Elves vs Tundra Orcs,2193,7.61,82421
6.963,The Battle of Five Armies,1416,8.00,135219
6.963,Washington's War,1914,7.68,38996
6.961,Cuba,6954,7.18,30380
6.961,Escape: The Curse of the Temple,11437,7.10,113294
6.961,Tobago,8261,7.13,42215
6.960,Lord of the Rings: The Confrontation,5872,7.22,3201
6.959,Shadows of Brimstone: Swamps of Death,1422,8.12,150997
6.957,Middle-Earth Quest,3414,7.40,31563
6.957,Torres,6970,7.18,88
6.954,Alhambra,21293,7.04,6249
6.953,Mr. Jack,11785,7.09,21763
6.950,Space Hulk,3181,7.46,2163
6.949,Marvel Dice Masters: Uncanny X-Men,3044,7.43,158275
6.949,Karuba,3475,7.35,183251
6.948,Eminent Domain,7403,7.14,68425
6.948,Age of Industry,2593,7.47,65901
6.945,No Thanks!,14448,7.04,12942
6.945,Pandemic: Reign of Cthulhu,2546,7.58,192153
6.944,Taluva,6027,7.19,24508
6.941,Discworld: Ankh-Morpork,6888,7.19,91312
6.940,Jamaica,10285,7.10,28023
6.940,Hero Realms,1609,7.91,198994
6.940,Evolution: Climate,1429,8.01,182134
6.939,Imhotep,3639,7.33,191862
6.938,ZhanGuo,1852,7.67,160495
6.938,Vasco da Gama,3717,7.32,41002
6.938,Tinners' Trail,3447,7.33,35570
6.938,Yedo,2547,7.50,117915
6.936,Warhammer: Invasion,5029,7.28,47185
6.936,Love Letter: Batman,3308,7.39,168584
6.934,Virgin Queen,1193,8.09,41066
6.934,Yspahan,7028,7.14,22345
6.934,Shipyard,2920,7.39,55600
6.933,Steampunk Rally,2893,7.43,162007
6.933,The Manhattan Project: Energy Empire,1336,8.01,176734
6.932,Schotten Totten,3713,7.30,372
6.928,Raiders of the North Sea,1579,7.86,170042
6.928,Chess,20122,7.09,171
6.927,Dungeons & Dragons: The Legend of Drizzt Board Game,4109,7.34,91872
6.926,Friedrich,2196,7.57,12891
6.923,Raptor,2304,7.53,177639
