ID,bookID,chapterInBook,url,title,povID,ChapterRating
0,0,0,/index.php/A_Game_of_Thrones-Prologue,Prologue,1825,9.06
1,0,1,/index.php/A_Game_of_Thrones-Chapter_1,Bran I,240,8.55
2,0,2,/index.php/A_Game_of_Thrones-Chapter_2,Catelyn I,287,7.47
3,0,3,/index.php/A_Game_of_Thrones-Chapter_3,Daenerys I,352,7.63
4,0,4,/index.php/A_Game_of_Thrones-Chapter_4,Eddard I,456,8.43
5,0,5,/index.php/A_Game_of_Thrones-Chapter_5,Jon I,851,8.43
6,0,6,/index.php/A_Game_of_Thrones-Chapter_6,Catelyn II,287,7.52
7,0,7,/index.php/A_Game_of_Thrones-Chapter_7,Arya I,136,8.22
8,0,8,/index.php/A_Game_of_Thrones-Chapter_8,Bran II,240,8.95
9,0,9,/index.php/A_Game_of_Thrones-Chapter_9,Tyrion I,1716,8.65
10,0,10,/index.php/A_Game_of_Thrones-Chapter_10,Jon II,851,8.34
11,0,11,/index.php/A_Game_of_Thrones-Chapter_11,Daenerys II,352,7.97
12,0,12,/index.php/A_Game_of_Thrones-Chapter_12,Eddard II,456,8.06
13,0,13,/index.php/A_Game_of_Thrones-Chapter_13,Tyrion II,1716,8.39
14,0,14,/index.php/A_Game_of_Thrones-Chapter_14,Catelyn III,287,7.78
15,0,15,/index.php/A_Game_of_Thrones-Chapter_15,Sansa I,1530,7.68
16,0,16,/index.php/A_Game_of_Thrones-Chapter_16,Eddard III,456,8.43
17,0,17,/index.php/A_Game_of_Thrones-Chapter_17,Bran III,240,8.7
18,0,18,/index.php/A_Game_of_Thrones-Chapter_18,Catelyn IV,287,7.54
19,0,19,/index.php/A_Game_of_Thrones-Chapter_19,Jon III,851,8.46
20,0,20,/index.php/A_Game_of_Thrones-Chapter_20,Eddard IV,456,8.31
21,0,21,/index.php/A_Game_of_Thrones-Chapter_21,Tyrion III,1716,8.45
22,0,22,/index.php/A_Game_of_Thrones-Chapter_22,Arya II,136,8.32
23,0,23,/index.php/A_Game_of_Thrones-Chapter_23,Daenerys III,352,8.07
24,0,24,/index.php/A_Game_of_Thrones-Chapter_24,Bran IV,240,8.16
25,0,25,/index.php/A_Game_of_Thrones-Chapter_25,Eddard V,456,8.44
26,0,26,/index.php/A_Game_of_Thrones-Chapter_26,Jon IV,851,8.08
27,0,27,/index.php/A_Game_of_Thrones-Chapter_27,Eddard VI,456,8.28
28,0,28,/index.php/A_Game_of_Thrones-Chapter_28,Catelyn V,287,7.95
29,0,29,/index.php/A_Game_of_Thrones-Chapter_29,Sansa II,1530,7.47
30,0,30,/index.php/A_Game_of_Thrones-Chapter_30,Eddard VII,456,8.87
31,0,31,/index.php/A_Game_of_Thrones-Chapter_31,Tyrion IV,1716,8.48
32,0,32,/index.php/A_Game_of_Thrones-Chapter_32,Arya III,136,8.67
33,0,33,/index.php/A_Game_of_Thrones-Chapter_33,Eddard VIII,456,8.49
34,0,34,/index.php/A_Game_of_Thrones-Chapter_34,Catelyn VI,287,7.56
35,0,35,/index.php/A_Game_of_Thrones-Chapter_35,Eddard IX,456,8.99
36,0,36,/index.php/A_Game_of_Thrones-Chapter_36,Daenerys IV,352,7.71
37,0,37,/index.php/A_Game_of_Thrones-Chapter_37,Bran V,240,7.36
38,0,38,/index.php/A_Game_of_Thrones-Chapter_38,Tyrion V,1716,8.49
39,0,39,/index.php/A_Game_of_Thrones-Chapter_39,Eddard X,456,8.34
40,0,40,/index.php/A_Game_of_Thrones-Chapter_40,Catelyn VII,287,8.6
41,0,41,/index.php/A_Game_of_Thrones-Chapter_41,Jon V,851,7.36
42,0,42,/index.php/A_Game_of_Thrones-Chapter_42,Tyrion VI,1716,8.15
